source,target,label
executive vice president finance,support user,URT
advisor human recruitment resources,business support director,URT
"director, foundation relations",contract director,URT
hairdrtesser,qlikview consultant,URT
hairdrtesser,senior client executive,URT
ketering,youth program director,URT
ketering,director information solutions technology,URT
controller assistant,application trainer,URT
enumborator,activities choral director,URT
manager order processing,principal research specialist,URT
senior qa auditor,aethetictian,URT
principal coo,district services manager,URT
ice skating instructor,vice president research,URT
clinical research associate trainee,police detective,URT
county director,project director business development,URT
senior analog designer,emploeye,URT
assistant superintendent,lead electrical engineer,URT
outdoor instructor,rehabilitation rn,URT
certified law clerk,validation coordinator,URT
executive producer,regulatory analyst,URT
graduate instructor,board chairman vice,URT
graduate instructor,graphic consultant,URT
election observer,media services specialist,URT
electronic specialist,edi developer,URT
human resources business consultant,cleining,URT
consumer affairs manager,vice president client solutions,URT
web marketing manager,physical design engineer,URT
web marketing manager,manager planning product senior,URT
vice president of public affairs,searching for job,URT
network technician,emplojee,URT
network product manager,customer success analyst,URT
section engineer,principal solutions consultant,URT
radio frequency test engineer,"manager, equity portfolio",URT
web system analyst,financial counselor,URT
public relations supervisor,return-to-factory clerk,URT
public relations supervisor,marketere,URT
"manager, creative marketing",vice president application,URT
"manager, creative marketing",bakeoffice,URT
account advertising manager,accounting group manager,URT
feild excutives,head marketing,URT
feild excutives,"manager, learning",URT
development internship research,english foreign language teacher,URT
development internship research,lead recruiter senior team,URT
government manager relations,asset management specialist,URT
government manager relations,senior vice president engineering operations,URT
government manager relations,supervirsor,URT
account client manager,chife accounttant,URT
phisicien,quality assurance developer,URT
product development assistant manager,machenical  engearing,URT
product development assistant manager,lacrosse coach,URT
"manager, technology program",profossional,URT
manegemend,center supervisor,URT
manegemend,hr lead,URT
head media new,clerk financial,URT
life coaching,information management president system vice,URT
call codinater,business,URT
"manager, sales performance","manager, internet development",URT
child protective,director marketing planning strategic,URT
hvac instructor,hardware networking,URT
senior communication consultant,conference director,URT
senior communication consultant,schollarship,URT
visiting assistant professor,supperintdent,URT
performance improvement specialist,auction manager,URT
assistant chief of police,advisory programmer,URT
area program manager,assistant vice president operations,URT
president association,salesmna,URT
claims specialist,marketing program manager,URT
head of policy,director religious education,URT
industrial director,customer service,URT
